Name,ISIN,BBG_Ticker,TOTAL_GHG_CO2_EMISSIONS_2020,TOTAL_GHG_CO2_EMISSIONS_2019,ENERGY_CONSUMPTION_2020,ENERGY_CONSUMPTION_2019
AstraZeneca,GB0009895292,AZN LN,0.4368,0.4995,1595.33,1749.4
Atlas Copco Registered,SE0011166610,ATCOA SS,0.077,0.082,351,369
Investor Registered,SE0015811963,INVEB SS,NaN,NaN,NaN,NaN
ABB,CH0012221716,ABBN SW,0.537,0.998,1616,2677
Atlas Copco Registered,SE0011166628,ATCOA SS,0.077,0.082,351,369
Nordea Bank Abp Registered Shs,FI4000297767,NDA SS,0.006248,0.007,104.99,113.14
Volvo,SE0000115446,VOLVB SS,NaN,NaN,1816,2118
Hexagon Registered,SE0015961909,HEXAB SS,NaN,NaN,NaN,NaN
Ericsson,SE0000108656,ERICB SS,0.196,0.1239,756,851.29
Sandvik,SE0000667891,SAND SS,0.385,0.45,1927.5,2207.78
Assa Abloy,SE0007100581,ASSAB SS,0.233425003,0.2543,644.2,701.22
Skandinaviska Enskilda Banken,SE0000148884,SEBA SS,0.00162,0.0022,64.71,67.32
Hennes & Mauritz,SE0000106270,HMB SS,0.576525024,0.6542,1502.46,1730.28
Evolution Gaming Group Registered Shs,SE0012673267,EVO SS,NaN,NaN,NaN,NaN
Swedbank,SE0000242455,SWEDA SS,0.017076,0.0198,78.77,93.09
Essity Registered,SE0009922164,ESSITYB SS,2.744,2.964,12460,13024
Svenska Handelsbanken,SE0007100599,SHBA SS,0.004714,0.0054,94.26,99.08
Alfa Laval,SE0000695876,ALFA SS,0.040535,0.0449,259.8,253.78
Telia,SE0000667925,TELIA SS,0.135,0.156,1216,1194
Svenska Cellulosa,SE0000112724,SCAB SS,0.3,0.34,12339.2,13575.2
Getinge,SE0000202624,GETIB SS,0.017271999,0.024,93,91.92
Swedish Match Registered Shs,SE0015812219,SWMA SS,0.030927999,0.0316,180.28,177.09
SKF Group,SE0000108227,SKFB SS,0.51653302,0.5764,1561,1686
Skanska,SE0000113250,SKAB SS,0.230751007,0.2556,1147.76,1277.94
Boliden Registered Shs,SE0015811559,BOL SS,0.897,0.917,6490.28,7691.94
Tele2,SE0005190238,TEL2B SS,0.046099998,0.0969,249.36,349.33
Kinnevik Registered,SE0015810247,KINVB SS,NaN,0,NaN,NaN
Sinch Registered Shs,SE0016101844,SINCH SS,NaN,NaN,NaN,NaN
Autoliv,SE0000382335,ALV US,0.381640991,0.4107,876,947
Electrolux Registered,SE0016589188,ELUXB SS,0.11,0.195,949.89,975.04
Linde,IE00BZ12WP82,LIN US,36.31,36.361,69277.4,65363
SAP,DE0007164600,SAP GR,0.095,0.126,693,955
Siemens,DE0007236101,SIE GR,1.257,1.28,3253.61,4755.83
Volkswagen,DE0007664039,VOW GR,7.14,7.57,21590,23420
Merck,DE0006599905,MRK GR,NaN,0.665,2372,2240
Daimler,DE0007100000,DAI GR,2.519,2.945,9711,11287
Airbus,NL0000235190,AIR FP,0.783,0.9275,3661,4242.69
Allianz,DE0008404005,ALV GR,0.209539993,0.2663,588.97,704.53
Deutsche Telekom,DE0005557508,DTE GR,5.050680176,3.6973,12800,9300
Siemens Healthineers,DE000SHL1006,SHL GR,NaN,NaN,735.56,735.28
Deutsche Post,DE0005552004,DPW GR,7.25,7.02,27383,26658
BASF,DE000BASF111,BAS GR,20.888,20.112,55000,55100
BMW,DE0005190003,BMW GR,1.893459961,2.0624,5714.61,5974.62
Infineon,DE0006231004,IFX GR,NaN,NaN,1874.61,1869.28
adidas,DE000A1EWWW0,ADS GR,0.026756001,0.0283,197.53,186.64
Bayer,DE000BAY0017,BAYN GR,3.76,3.8,9960.56,10762.2
Vonovia,DE000A1ML7J1,VNA GR,0.904242004,1.0403,4653.22,4280.78
Sartorius vz.,DE0007165631,SRT GR,0.043157001,0.0441,132.07,130.65
Münchener Rückversicherungs-Gesellschaft,DE0008430026,MUV2 GR,0.096038002,0.1078,344.93,360.9
Henkel vz.,DE0006048432,HEN3 GR,0.536,0.666,2410,2470
E.ON,DE000ENAG999,EOAN GR,8.05,11.56,66666.7,63333.3
Delivery Hero,DE000A2E4K43,DHER GR,NaN,NaN,NaN,NaN
Porsche,DE000PAH0038,PAH3 GR,NaN,NaN,NaN,NaN
